State,x,y
Andhra Pradesh,-69,-92
Arunachal Pradesh,116,77
Assam,96,48
Bihar,8,42
Chhattisgarh,-33,-7
Goa,-129,-88
Gujarat,-161,4
Haryana,-101,88
Himachal Pradesh,-89,127
Jharkhand,4,15
Karnataka,-113,-100
Kerala,-97,-148
Madhya Pradesh,-73,13
Maharashtra,-125,-43
Manipur,108,28
Meghalaya,69,40
Mizoram,92,13
Nagaland,115,45
Odisha,2,-28
Punjab,-108,111
Rajasthan,-145,54
Sikkim,43,68
Tamil Nadu,-76,-136
Telangana,-68,-54
Tripura,79,13
Uttarakhand,-69,102
Uttar Pradesh,-58,59
West Bengal,36,7


